类别,物料名称,推荐规格/型号,数量,参考单价(元),小计(元),采购平台,搜索关键词
主控与通信,ESP32-S3开发板,N16R8 DevKitC-1,1,20,20,淘宝/1688,ESP32-S3 N16R8 开发板
主控与通信,USB数据线,Type-C 1m,1,8,8,淘宝,Type-C数据线
视觉识别,ESP32-CAM模块,带OV2640摄像头,1,18,18,淘宝/1688,ESP32-CAM OV2640
视觉识别,LED补光灯,12V白色灯带 0.5m,1,15,15,淘宝,LED灯带 12V 白光
机械运动,42步进电机,NEMA17 0.4N.m,2,22,44,淘宝/1688,42步进电机 NEMA17
机械运动,步进电机驱动器,A4988 带散热片,2,4,8,淘宝/1688,A4988 步进电机驱动模块
机械运动,XY直线滑台,同步带式 行程200mm,1,150,150,淘宝,XY滑台 同步带直线模组
机械运动,同步带+同步轮,GT2 6mm + 20齿,1套,20,20,淘宝,GT2同步带 同步轮套装
机械运动,直流吸盘电磁铁,P20/15 12V 吸力3kg,1,12,12,淘宝,直流吸盘式电磁铁 12V 小型
互动片,钕铁硼强磁铁,圆形直径15mm 厚3mm,20,1,20,淘宝,钕铁硼强磁 圆形 15mm
互动片,亚克力圆片,直径30mm 厚3mm 彩色,20,3,60,淘宝,亚克力板定制 激光切割
互动片,3D打印互动片外壳,PLA打印,1批,50,50,淘宝,3D打印服务 定制
传感与安全,限位开关,微动开关 三脚,4,2,8,淘宝,限位开关 微动开关 3D打印机
传感与安全,霍尔传感器模块,A3144/44E KY-003,4,2,8,淘宝/1688,A3144 霍尔传感器模块
传感与安全,RGB LED灯珠,WS2812B 灯带 8颗,1,8,8,淘宝,WS2812B RGB灯带
传感与安全,有源蜂鸣器,5V 有源,1,2,2,淘宝,有源蜂鸣器 5V
电源,12V电源适配器,12V 3A 圆口,1,22,22,淘宝,12V电源适配器 3A
电源,DC-DC降压模块,LM2596 3A可调,2,3,6,淘宝/1688,LM2596 降压模块
电源,船型开关+保险丝座,12V 10A,1套,4,4,淘宝,船型开关 保险丝座
PCB与加工,PCB打样,5x5cm 双层,1批,10,10,嘉立创/立创,PCB打样 嘉立创
PCB与加工,接插件+排线,杜邦线/XH2.54套装,1批,10,10,淘宝,杜邦线 XH2.54 接插件套装
外壳结构,3D打印结构件,PLA 桌垫框架,1套,100,100,淘宝,3D打印服务 手板
外壳结构,螺丝螺母+脚垫,M3/M4套装,1批,15,15,淘宝,螺丝螺母套装 橡胶脚垫
备用与试错,备用电机/磁铁/传感器,各备1-2份,1批,80,80,淘宝,同上各类
合计,,,,,约698,,
