序号,子系统,器件名称,具体型号/规格,数量,是否装机,用途与备注
1,主控与通信,ESP32-S3开发板,Espressif ESP32-S3-DevKitC-1-N16R8,2,1块装机1块备用,负责霍尔扫描、PN5180控制、BLE同步；不需要额外蓝牙模块
2,RFID基准验证,PN5180成品模块,ELECHOUSE PN5180 NFC Module,1,调试工具,先用已调好的模块验证ESP32程序和ISO15693标签；不作为九格阵列读头
3,RFID阵列读头,NFC前端芯片,NXP PN5180A0HN/C4Y,2,1颗装机1颗备用,安装在定制3x3识别PCB；支持ISO15693和SPI
4,RFID时钟,27.12MHz晶体,NDK NX3225SA-27.120MHz或同规格10ppm晶体,2,1颗装机1颗备用,PN5180参考时钟；负载电容按晶体数据手册配置
5,格位天线,自制13.56MHz PCB线圈,ANT-3X3-V1；外形先做28x28mm和32x32mm两版；2层板,各6个,9个装机其余对照,线圈最终匝数和匹配值必须用NanoVNA实测后冻结
6,天线选择,双刀双掷射频信号继电器,Omron G6K-2F-RF-V DC5；5V线圈；DPDT,10,9个装机1个备用,每个继电器同时切换天线两端；只有需要识别的格位吸合
7,继电器控制,串入并出移位寄存器,TI SN74HC595PWR,2,装机,提供16路继电器选择控制
8,继电器驱动,八路达林顿阵列,TI ULN2803CDW,2,装机,驱动5V继电器线圈；内部带续流二极管
9,位置检测,全极霍尔开关,TI DRV5032FCDBZR；SOT-23；20Hz；开漏输出,12,9个装机3个备用,每格一个；检测棋子底部磁铁是否存在
10,霍尔读取,并入串出移位寄存器,TI SN74HC165PWR,2,装机,读取9路霍尔状态并预留扩展
11,棋子身份标签,ISO15693圆形湿Inlay,NXP ICODE SLIX2 SL2S2602；成品22mm圆形标签,12,9个试验3个备用,每枚标签具有唯一8字节UID；不要购买只有裸芯片没有线圈的版本
12,棋子位置磁体,圆形钕铁硼磁铁,N35或N42；直径6mm厚2mm；镀镍,12,9个试验3个备用,触发格位霍尔传感器；所有磁铁安装方向保持一致
13,磁隔离,13.56MHz柔性铁氧体片,TDK IFQ06-100NB300X200；0.10mm,1张,裁切使用,放在RFID标签与磁铁/金属之间并重新调谐标签和读头
14,匹配网络,高Q C0G/NP0电容样品,Murata GJM1555C1H系列；10pF至220pF；1%或2%,1套,调试后部分装机,PN5180 EMC滤波和九个天线的匹配；最终容值不能在试验前写死
15,阻尼与偏置,0402/0603精密电阻包,Yageo RC0402FR/RC0603FR系列；1%或更高,1套,装机与调试,天线Q值控制、上拉和接口配置
16,供电,5V电源适配器,Mean Well GST25A05-P1J；5V 4A,1,装机,给主控、读头和继电器供电
17,3.3V电源,3A同步降压芯片,TI TPS62133RGTR,2,1颗装机1颗备用,为PN5180和逻辑电路提供低噪声3.3V；按TI参考设计布局
18,接口保护,ESD保护阵列,TI TPD4E05U06DQAR,2,装机,保护USB和外接调试接口
19,调试接口,USB转串口模块,CP2102N开发模块,1,可选,当ESP32开发板原生USB调试不方便时使用
20,测量工具,NanoVNA,NanoVNA-H4或同等级50kHz至1.5GHz设备,1,不装机,测量每个天线的谐振、匹配以及邻格耦合；可以借用
21,结构,3x3试验面板,非金属木板或亚克力；厚度2mm/3mm/4mm各一块,1批,装机比较,最终面板厚度由读距和机械强度共同决定
22,棋子样件,可拆底座国际象棋棋子,底部可容纳22mm标签、铁氧体片和6x2mm磁铁,9,装机,至少包含多种高度和底座尺寸
23,PCB加工,3x3识别主板,嘉立创2层或4层PCB加SMT贴装；含PN5180裸芯片焊接,5套,1套使用其余返工,PN5180为HVQFN封装；建议由贴片厂完成而不是手工焊接
24,线材连接,连接器和线材,JST-XH2.54、2.54mm排针、USB-C线、测试夹,1批,装机与调试,RF天线连接应短且对称；不要用长杜邦线连接13.56MHz天线
