优先级,类别,物料,建议型号/参数,数量,预算上限_RMB,用途,采购结论
P0,主控,ESP32-S3开发板,ESP32-S3-DevKitC-1-N8R8或同等N8R8,2,180,BLE/1-Wire/固件调试,现在采购
P0,身份芯片首选,一线制唯一ID+EEPROM芯片,DS2431G+U或DS2431GA+U;SFN机械接触封装;约6x6x0.9mm或3.5x6.5x0.75mm,5-8,240,预写棋子编号/颜色/角色并读取唯一UID,先买样品并核验真品
P0,身份芯片备选,一线制唯一ID芯片,DS2401+ TO-92;64-bit ROM;无用户EEPROM,3-5,50,DS2431供货或接触封装验证失败时做电气备份,少量采购
P0,选格,16路模拟多路器,74HC4067 3.3V可用模块,2,40,4x4先验证并预留扩展,现在采购
P0,棋盘触点,弹簧针或镀金铜触点,2-3mm;每格两触点;可旋转接触,40,160,16格加备件,现在采购
P0,结构,4x4非金属底板与定位圈,亚克力/MDF/3D打印;格距35-40mm,1批,220,固定触点和棋子位置,现在采购
P0,接线,洞洞板/排针/杜邦/JST/电阻,4.7k/2.2k/100R和3.3V上拉,1批,180,1-Wire和台架连接,现在采购
P0,供电,5V 2-3A电源与3.3V稳压,带过流保护;USB或端子输入,1批,150,主控与阵列供电,现在采购
P1,辅助占位,霍尔开关,DRV5033 3.3V版本,8,80,检测抬起/落下和去抖,验证后采购
P1,辅助占位,小磁铁,直径4-6mm厚2-3mm,12,50,配合霍尔开关,验证后采购
P1,调试,逻辑分析仪,8通道USB低速款,1,100,观察1-Wire时序;已有则不买,按需
P2,身份对比,HF读头与标签,PN532 3.3V模块+NTAG213,1套,80,只做非接触方案对比,暂缓
P2,运动,电机/导轨/电磁铁,任意,0,0,不影响三个月人工移子闭环,暂不采购
P2,阵列,64格读卡器或全盘PCB,任意,0,0,未经4x4验证风险过高,暂不采购
